#
Resolución de la cámara frontal;16 MP
Flash integrado;Sí
Sensores;NFC
Sensor de huellas dactilares;Sí
Inteligencia artificial;Sí
Reconocimiento facial;Sí
Referencia;7110652
EAN;6901443375769
Marca;HUAWEI
Modelo;P40 Lite
Garantía;2 años
Color;Negro
Peso;183 g
Altura;15.9
Ancho;7.6
Profundidad;0.87
RAM;6 GB
Memoria interna;128 GB
Memoria externa;microSD
Potencia de la batería;4200 mAh
Entrada del cargador;USB-C
Contenido extra incluido en la caja;Cargador, cable USB-C
url;https://www.worten.es/productos/moviles-smartphones/smartphones/smartphone-huawei-p40-lite-6-4-6-gb-128-gb-negro-7110652
#
imagen;https://www.worten.es//i/f5794058327bab1acd5541081e68e6713f65539b.jpg
nombre;Smartphone ALCATEL 1 2019 (5'' - 1 GB - 8 GB - Negro)
precio;49,99
Sistema operativo;Android
Versión del sistema operativo;8
Procesador;MT6739
Núcleos;Quad-Core
Velocidad del procesador;4 x A53, 1.28 GHz
Tarjetas;SIM1 + SD
Radio;Sí
Diagonal de la pantalla;5
Tecnología de la pantalla;LCD
Resolución de la pantalla;VGA
Tipo de red;4G
Bluetooth;Sí
Función GPS;Sí
Número de cámaras traseras;1
Número de cámaras frontales;1
Resolución de la cámara trasera;5 MP
Resolución de la cámara frontal;2 MP
Flash integrado;Sí
Grabación de vídeo;720P@30fps
Sensores;proximidad, luz ambiental
Sensor de huellas dactilares;No
Inteligencia artificial;No
Reconocimiento facial;No
Referencia;6921711
EAN;4894461794099
Marca;ALCATEL
Modelo;1 2019
Garantía;2 años
Color;Negro
Peso;134 g
Altura;13.8
Ancho;6.57
Profundidad;0.98
RAM;1 GB
Memoria interna;8 GB
Memoria externa;hasta32GB
Potencia de la batería;2000 mAh
Entrada del cargador;MicroUSB
Contenido extra incluido en la caja;cargador
url;https://www.worten.es/productos/moviles-smartphones/smartphones/smartphone-alcatel-1-2019-5-1-gb-8-gb-negro-6921711
#
imagen;https://www.worten.es//i/588d304076f3091b8c1c303983cce4c14b84eb89.jpg
nombre;Smartphone HUAWEI P40 Lite (6.4'' - 6 GB - 128 GB - Verde)
precio;299,99
Sistema operativo;Android
Versión del sistema operativo;10 Aosp+Emui10
Procesador;Kirin 810
Núcleos;Octa-Core
Velocidad del procesador;4x2.27 + 4x1.88 GHz
Tarjetas;SIM1 + SIM2 + SD
Radio;Sí
Diagonal de la pantalla;6.4
Tecnología de la pantalla;LCD
Resolución de la pantalla;Full HD+
Tipo de red;4G
Bluetooth;Sí
Función GPS;Sí
Número de cámaras traseras;4
Número de cámaras frontales;1
Resolución de la cámara trasera;48+8+2+2 MP
Resolución de la cámara frontal;16 MP
Flash integrado;Sí
Sensores;NFC
Sensor de huellas dactilares;Sí
Inteligencia artificial;Sí
Reconocimiento facial;Sí
Referencia;7110659
EAN;6901443375776
Marca;HUAWEI
Modelo;P40 Lite
Garantía;2 años
Color;Verde
Peso;183 g
Altura;15.9
Ancho;7.6
Profundidad;0.87
RAM;6 GB
Memoria interna;128 GB
Memoria externa;microSD
Potencia de la batería;4200 mAh
Entrada del cargador;USB-C
Contenido extra incluido en la caja;Cargador, cable USB-C
url;https://www.worten.es/productos/moviles-smartphones/smartphones/smartphone-huawei-p40-lite-6-4-6-gb-128-gb-verde-7110659
#
imagen;https://www.worten.es//i/f711b192a7da97720cbc3fe6633407fc628d7c9d.jpg
nombre;Smartphone HUAWEI P30 Lite (6.15'' - 4 GB - 128 GB - Azul)
precio;229,99
Sistema operativo;Android
Versión del sistema operativo;9
Procesador;Kirin 710
Núcleos;Octa-Core
Velocidad del procesador;4 x 2.2 + 4 x 1.7GHz
Tarjetas;SIM1 + SIM2 o SD
Radio;Sí
